Place,Site name, First votes, Second votes, Third votes, Fourth votes, Fifth votes, Total points
1,Klang : Malaysia,6,3,2,1,2,52
2,Alf: Germany,4,5,1,1,3,48
3,Belfast & Antrim: UK,1,7,2,2,5,48
4,Lurgan: UK,5,2,3,1,2,46
5,Czeladz & Giliwice: Poland,3,2,3,4,5,45
6,Nules: Spain,5,1,2,2,1,40
7,Cupprint: Ireland,2,1,1,5,1,28
8,Ukraine: Kiev,2,2,1,2,3,28
9,Gosport: UK,0,1,5,0,0,19
10,HTP QLD : Australia,2,1,1,0,0,17
11,Blackburn: UK,0,1,1,3,2,15
12,HTP SA :  Australia,2,1,0,0,0,14
13,La Rochelle: France,1,1,1,1,0,14
14,Istanbul: Turkey,1,2,0,0,0,13
15,Xuzhou: China,0,2,1,1,0,13
16,HTP (WA) Australia,0,2,1,0,0,11
17,Hameenlinna: Finland,0,1,0,2,3,11
18,Shanghai: China,0,0,3,0,2,11
19,HTP VIC :Australia,0,0,2,2,0,10
20,Palmeira: Brazil,1,0,1,1,0,10
21,Guangzhou: China,0,1,1,0,1,8
22,Windsor: Australia,0,0,1,1,2,7
23,Mumbai FS: India,0,0,0,2,1,5
24,Preston: Australia,0,0,1,1,0,5
25,Springs: South Africa,1,0,0,0,0,5
26,HTP NSW: Australia,0,0,1,0,0,3
27,Henderson: N Zealand,0,0,1,0,0,3
28,Okrisky: Czech republic ,0,0,0,1,1,3
29,Otahuhu: N Zealand,0,0,0,1,1,3
30,Appco: S Arabia,0,0,0,1,0,2
31,Franeker: Holland,0,0,0,1,0,2
32,Sadat City : Egypt,0,0,0,0,1,1
